FULL DANH SÁCH HỆ THỐNG TÀI KHOẢN
======================================================================================================================================================

R   1: DANH SÁCH HỆ THỐNG TÀI KHOẢN | DANH SÁCH HỆ THỐNG TÀI KHOẢN | DANH SÁCH HỆ THỐNG TÀI KHOẢN | DANH SÁCH HỆ THỐNG TÀI KHOẢN | DANH SÁCH HỆ THỐNG TÀI KHOẢN | DANH SÁCH HỆ THỐNG TÀI KHOẢN
R   2:                           |                           |                           |                           |                           |                          
R   3: STT                       | Số tài khoản              | Tên tài khoản             | Tính chất                 | Diễn giải                 | Trạng thái               
R   4: 1                         | 111                       | Tiền mặt                  | Dư Nợ                     |                           | Đang sử dụng             
R   5: 2                         | 1111                      | Tiền Việt Nam             | Dư Nợ                     |                           | Đang sử dụng             
R   6: 3                         | 1112                      | Tiền mặt USD Shinhan      | Dư Nợ                     |                           | Đang sử dụng             
R   7: 4                         | 1113                      | Tiền mặt Payoneer         | Dư Nợ                     |                           | Đang sử dụng             
R   8: 5                         | 1114                      | Tiền mặt EUR              | Dư Nợ                     |                           | Đang sử dụng             
R   9: 6                         | 1115                      | BTC                       | Dư Nợ                     |                           | Đang sử dụng             
R  10: 7                         | 1116                      | Tiền mặt GBP              | Dư Nợ                     |                           | Đang sử dụng             
R  11: 8                         | 1117                      | Tiền mặt USDT             | Dư Nợ                     |                           | Đang sử dụng             
R  12: 9                         | 1118                      | Tiền mặt USD Paypal       | Dư Nợ                     |                           | Đang sử dụng             
R  13: 10                        | 1119                      | Tiền mặt SGD Payoneer     | Dư Nợ                     |                           | Đang sử dụng             
R  14: 11                        | 112                       | Tiền gửi Ngân hàng        | Dư Nợ                     |                           | Đang sử dụng             
R  15: 12                        | 1121                      | Tiền Việt Nam             | Dư Nợ                     |                           | Đang sử dụng             
R  16: 13                        | 1121.1                    | 19133705866016            | Dư Nợ                     |                           | Đang sử dụng             
R  17: 14                        | 1121.3                    | 19033705866046            | Dư Nợ                     |                           | Đang sử dụng             
R  18: 15                        | 1121.5                    | 19033705866021            | Dư Nợ                     |                           | Đang sử dụng             
R  19: 16                        | 1121.6                    | 19033705866062            | Dư Nợ                     |                           | Đang sử dụng             
R  20: 17                        | 1121.7                    | 66688866999               | Dư Nợ                     |                           | Đang sử dụng             
R  21: 18                        | 1121.8                    | 700015035353              | Dư Nợ                     |                           | Đang sử dụng             
R  22: 19                        | 1122                      | Ngoại tệ                  | Dư Nợ                     |                           | Đang sử dụng             
R  23: 20                        | 1122.1                    | 700015035411              | Dư Nợ                     |                           | Đang sử dụng             
R  24: 21                        | 121                       | Chứng khoán kinh doanh    | Dư Nợ                     |                           | Đang sử dụng             
R  25: 22                        | 128                       | Đầu tư nắm giữ đến ngày đáo hạn | Dư Nợ                     |                           | Đang sử dụng             
R  26: 23                        | 1281                      | Tiền gửi có kỳ hạn        | Dư Nợ                     |                           | Đang sử dụng             
R  27: 24                        | 1288                      | Các khoản đầu tư khác nắm giữ đến ngày đáo hạn | Dư Nợ                     |                           | Đang sử dụng             
R  28: 25                        | 131                       | Phải thu của khách hàng   | Lưỡng tính                |                           | Đang sử dụng             
R  29: 26                        | 131.1                     | T&M                       | Lưỡng tính                |                           | Đang sử dụng             
R  30: 27                        | 131.2                     | Fix priced                | Lưỡng tính                |                           | Đang sử dụng             
R  31: 28                        | 133                       | Thuế GTGT được khấu trừ   | Dư Nợ                     |                           | Đang sử dụng             
R  32: 29                        | 1331                      | Thuế GTGT được khấu trừ của hàng hóa, dịch vụ | Dư Nợ                     |                           | Đang sử dụng             
R  33: 30                        | 1332                      | Thuế GTGT được khấu trừ của TSCĐ | Dư Nợ                     |                           | Đang sử dụng             
R  34: 31                        | 136                       | Phải thu nội bộ           | Dư Nợ                     |                           | Đang sử dụng             
R  35: 32                        | 1361                      | Vốn kinh doanh ở đơn vị trực thuộc | Dư Nợ                     |                           | Đang sử dụng             
R  36: 33                        | 1368                      | Phải thu nội bộ khác      | Dư Nợ                     |                           | Đang sử dụng             
R  37: 34                        | 138                       | Phải thu khác             | Lưỡng tính                |                           | Đang sử dụng             
R  38: 35                        | 1381                      | Tài sản thiếu chờ xử lý   | Lưỡng tính                |                           | Đang sử dụng             
R  39: 36                        | 1386                      | Cầm cố, thế chấp, ký quỹ, ký cược | Dư Nợ                     |                           | Đang sử dụng             
R  40: 37                        | 1388                      | Phải thu khác             | Lưỡng tính                |                           | Đang sử dụng             
R  41: 38                        | 141                       | Tạm ứng                   | Dư Nợ                     |                           | Đang sử dụng             
R  42: 39                        | 151                       | Hàng mua đang đi đường    | Dư Nợ                     |                           | Đang sử dụng             
R  43: 40                        | 152                       | Nguyên liệu, vật liệu     | Dư Nợ                     |                           | Đang sử dụng             
R  44: 41                        | 153                       | Công cụ, dụng cụ          | Dư Nợ                     |                           | Đang sử dụng             
R  45: 42                        | 154                       | Chi phí sản xuất, kinh doanh dở dang | Dư Nợ                     |                           | Đang sử dụng             
R  46: 43                        | 154.1                     | CP NCTT                   | Dư Nợ                     |                           | Đang sử dụng             
R  47: 44                        | 154.2                     | CP Vendor                 | Dư Nợ                     |                           | Đang sử dụng             
R  48: 45                        | 154.3                     | Chi phí công tác, công cụ, sự kiện dành cho team dự án | Dư Nợ                     |                           | Đang sử dụng             
R  49: 46                        | 154.5                     | Chi phí đầu tư đào tạo nhân lực (cử đi đào tạo, học tiếng anh...) | Dư Nợ                     |                           | Đang sử dụng             
R  50: 47                        | 155                       | Thành phẩm                | Dư Nợ                     |                           | Đang sử dụng             
R  51: 48                        | 156                       | Hàng hóa                  | Dư Nợ                     |                           | Đang sử dụng             
R  52: 49                        | 157                       | Hàng gửi đi bán           | Dư Nợ                     |                           | Đang sử dụng             
R  53: 50                        | 211                       | Tài sản cố định           | Dư Nợ                     |                           | Đang sử dụng             
R  54: 51                        | 2111                      | TSCĐ hữu hình             | Dư Nợ                     |                           | Đang sử dụng             
R  55: 52                        | 21111                     | Nhà cửa, vật kiến trúc    | Dư Nợ                     |                           | Đang sử dụng             
R  56: 53                        | 21112                     | Máy móc thiết bị          | Dư Nợ                     |                           | Đang sử dụng             
R  57: 54                        | 21113                     | Phương tiện vận tải truyền dẫn | Dư Nợ                     |                           | Đang sử dụng             
R  58: 55                        | 21114                     | Thiết bị dụng cụ quản lý  | Dư Nợ                     |                           | Đang sử dụng             
R  59: 56                        | 21115                     | Cây lâu năm, súc vật làm việc và cho sản phẩm | Dư Nợ                     |                           | Đang sử dụng             
R  60: 57                        | 21116                     | Các TSCĐ là kết cấu hạ tầng, có giá trị lớn do Nhà nước ĐTXD từ NSNN giao cho các tổ chức kinh tế quản lý, khai thác, sử dụng | Dư Nợ                     |                           | Đang sử dụng             
R  61: 58                        | 21118                     | TSCĐ khác                 | Dư Nợ                     |                           | Đang sử dụng             
R  62: 59                        | 2112                      | TSCĐ thuê tài chính       | Dư Nợ                     |                           | Đang sử dụng             
R  63: 60                        | 2113                      | TSCĐ vô hình              | Dư Nợ                     |                           | Đang sử dụng             
R  64: 61                        | 21131                     | Quyền sử dụng đất         | Dư Nợ                     |                           | Đang sử dụng             
R  65: 62                        | 21132                     | Quyền phát hành           | Dư Nợ                     |                           | Đang sử dụng             
R  66: 63                        | 21133                     | Bản quyền, bằng sáng chế  | Dư Nợ                     |                           | Đang sử dụng             
R  67: 64                        | 21134                     | Nhãn hiệu hàng hóa        | Dư Nợ                     |                           | Đang sử dụng             
